quest,6.1522446
camelot,5.6261606
warner,1.7075702
bros,2.0086002
',0.9672075
first,0.026328938
feature,1.1055102
length,1.5314789
fully,1.230449
animated,1.3096302
attempt,0.9294189
steal,1.5314789
clout,1.7075702
disney's,3.0629578
cartoon,1.7249442
empire,1.4065402
mouse,1.7075702
reason,0.7298466
worried,1.7075702
recent,0.9672075
challenger,2.0086002
throne,2.0086002
last,0.34584233
fall's,2.0086002
promising,1.7075702
flawed,1.4065402
20th,2.0086002
century,1.5314789
fox,1.0086001
production,0.5772364
anastasia,2.0086002
disney's,3.0629578
hercules,2.0086002
lively,1.7075702
cast,0.49008623
colorful,1.4065402
palate,2.0086002
had,0.16350213
beat,1.3096302
hands,0.9294189
down,0.38535088
came,1.0543576
time,-0.10534318
crown,1.7075702
1997's,2.0086002
best,0.18252537
piece,0.7298466
animation,2.460898
year,0.49008623
it's,-1.0650355
contest,1.5314789
quest,6.1522446
camelot,5.6261606
pretty,0.56144214
dead,0.8624721
arrival,1.7075702
magic,1.4065402
kingdom,2.0086002
mediocre,1.5314789
that'd,2.0086002
pocahontas,2.0086002
keeping,1.1635021
score,0.89465684
isn't,0.31840408
nearly,0.62838894
dull,1.1635021
story,-0.020783605
revolves,1.4065402
around,0.22327034
adventures,1.4065402
free,1.0543576
spirited,1.7075702
kayley,4.5944366
voiced,1.7075702
jessalyn,2.0086002
gilsig,2.0086002
early,1.5563025
teen,0.9294189
daughter,0.8624721
belated,2.0086002
knight,1.7075702
king,1.1055102
arthur's,4.5944366
round,2.8130803
table,2.8130803
kayley's,2.0086002
dream,1.4065402
follow,0.9672075
father's,1.7075702
footsteps,1.7075702
gets,0.3365023
chance,0.8624721
evil,0.8325089
warlord,2.0086002
ruber,2.0086002
gary,0.9294189
oldman,2.0086002
ex,1.1055102
round,2.8130803
table,2.8130803
member,0.9672075
gone,1.1055102
bad,0.16975108
steals,1.5314789
arthur's,4.5944366
magical,2.0086002
sword,2.0086002
excalibur,2.0086002
accidentally,1.7075702
loses,1.4065402
dangerous,1.3096302
booby,2.0086002
trapped,1.7075702
forest,1.4065402
help,0.7298466
hunky,1.5314789
blind,1.4065402
timberland,2.0086002
dweller,2.0086002
garrett,2.0086002
carey,2.0086002
elwes,2.0086002
headed,1.7075702
dragon,1.3096302
eric,1.1055102
idle,1.7075702
don,1.7075702
rickles,2.0086002
that's,0.2762064
arguing,1.7075702
kayley,4.5944366
able,0.89465684
break,1.1055102
medieval,1.7075702
sexist,1.7075702
mold,1.7075702
prove,0.9672075
worth,0.7298466
fighter,1.5314789
arthur's,4.5944366
side,0.7075702
quest,6.1522446
camelot,5.6261606
missing,0.8624721
pure,1.230449
showmanship,1.7075702
essential,1.7075702
element,1.230449
it's,-1.0650355
expected,1.4065402
climb,2.0086002
ranks,1.7075702
disney,1.3096302
there's,0.2762064
differentiates,2.0086002
quest,6.1522446
you'd,1.230449
see,0.1583625
given,0.5172385
saturday,1.7075702
morning,1.3096302
cartoon,1.7249442
subpar,2.0086002
animation,2.460898
instantly,1.5314789
forgettable,1.4065402
songs,1.4065402
poorly,1.4065402
integrated,2.0086002
computerized,2.0086002
footage,2.3270042
compare,1.5314789
kayley,4.5944366
garrett's,2.0086002
run,0.68638086
angry,0.9294189
ogre,2.0086002
herc's,2.0086002
battle,0.9294189
hydra,2.0086002
rest,0.6661775
my,0.16975108
case,0.7781513
characters,0.0
stink,2.0086002
none,0.9672075
remotely,1.7075702
interesting,0.3651475
film,-0.62080944
becomes,0.4065402
race,0.8624721
see,0.1583625
bland,1.1635021
others,0.7075702
end,0.2527253
it's,-1.0650355
tie,2.0086002
win,1.3096302
dragon's,2.0086002
comedy,0.4065402
shtick,2.0086002
awfully,1.7075702
cloying,1.5314789
shows,0.6661775
signs,1.3096302
pulse,2.0086002
fans,0.9672075
early,1.5563025
'90s,1.7075702
tgif,2.0086002
television,0.8624721
line,0.7075702
thrilled,2.0086002
find,1.0629579
jaleel,2.0086002
urkel,2.0086002
white,0.5936268
bronson,2.0086002
balki,2.0086002
pinchot,2.0086002
sharing,1.7075702
same,0.4065402
footage,2.3270042
scenes,0.1335389
nicely,1.1635021
realized,1.5314789
i'm,0.53147894
loss,1.7075702
recall,1.5314789
specific,1.3096302
actors,0.61066014
providing,1.4065402
voice,1.1635021
talent,0.7781513
enthusiastic,1.5314789
paired,2.0086002
singers,2.0086002
who,-0.44318625
don't,0.2024202
sound,1.0086001
like,-0.33184394
big,0.16975108
musical,1.3096302
moments,0.75332767
jane,1.5314789
seymour,2.0086002
celine,2.0086002
dion,2.0086002
strain,1.7075702
mess,1.934415
find,1.0629579
good,-0.016705694
aside,1.5314789
fact,0.5172385
children,1.3096302
probably,0.7075702
bored,0.9672075
watching,0.56144214
adults,1.230449
quest,6.1522446
camelot,5.6261606
's,1.5314789
grievous,2.0086002
error,2.0086002
complete,1.0543576
lack,1.3096302
personality,2.8130803
personality,2.8130803
we,-0.13127892
learn,0.89465684
mess,1.934415
goes,0.4288166
long,0.37513173
way,-0.016705694
